measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6931033484718256128	-0.380793	-1.98171	-0.10121	-0.0646051	-2.71803	-7.12046
6931033478254929920	-0.371223	-1.96902	-0.0901845	-0.0536595	-2.71489	-7.10689
6931033471791603712	-0.391796	-1.99847	-0.123076	-0.0820975	-2.74339	-7.1388
6931033465328278528	-0.403288	-2.00736	-0.115259	-0.0888211	-2.74784	-7.14666
6931033458864952320	-0.406292	-2.00695	-0.118912	-0.0894964	-2.74971	-7.1467
6931033452401626112	-0.378748	-1.97649	-0.102915	-0.0612449	-2.72162	-7.11719
6931033445938299904	-0.37751	-1.97788	-0.103857	-0.0617722	-2.72358	-7.11691
6931033439474973696	-0.39759	-2.00667	-0.131433	-0.0890558	-2.74537	-7.14461
6931033433011647488	-0.404141	-2.00723	-0.115031	-0.0893163	-2.74729	-7.14612
6931033426548321280	-0.396935	-2.00001	-0.122639	-0.0808177	-2.73976	-7.13646
6931033420084996096	-0.374992	-1.96646	-0.0914417	-0.0506208	-2.71521	-7.1063
6931033413621669888	-0.382423	-1.98187	-0.108111	-0.0651324	-2.73025	-7.12226
6931033407158342656	-0.398555	-2.00681	-0.131121	-0.0894449	-2.74799	-7.14616
6931033400695017472	-0.405514	-2.00624	-0.117976	-0.0896861	-2.74665	-7.14606
6931033394231691264	-0.381326	-1.9806	-0.100969	-0.0640263	-2.72399	-7.11934
6931033387768365056	-0.385526	-1.98969	-0.112574	-0.074869	-2.7334	-7.1302
6931033381305038848	-0.399275	-2.00673	-0.132838	-0.089342	-2.74519	-7.1454
6931033374833118208	-0.404231	-2.00682	-0.117368	-0.089805	-2.75104	-7.14508
6931033368369792000	-0.384169	-1.98717	-0.10403	-0.0690232	-2.72605	-7.12547
6931033361906466816	-0.378027	-1.97778	-0.09895	-0.0608011	-2.72464	-7.1175
6931033355443140608	-0.395838	-2.00215	-0.12507	-0.0855284	-2.74558	-7.14099
6931033348979814400	-0.403874	-2.00655	-0.119024	-0.090133	-2.74833	-7.1466
6931033342516488192	-0.400713	-2.00606	-0.126394	-0.0884095	-2.74626	-7.14593
6931033336044566528	-0.377741	-1.97415	-0.0989982	-0.0572962	-2.71914	-7.11234
6931033329581240320	-0.386098	-1.98947	-0.113034	-0.0750298	-2.73498	-7.12909
6931033323109320704	-0.398529	-2.00656	-0.131282	-0.089371	-2.74428	-7.14465
6931033316645994496	-0.403832	-2.00722	-0.118992	-0.0889947	-2.74976	-7.14609
6931033310182667264	-0.379548	-1.97859	-0.0986927	-0.0612224	-2.7217	-7.11674
6931033303710746624	-0.386905	-1.99213	-0.115288	-0.0757147	-2.73535	-7.13255
6931033297247420416	-0.39934	-2.00711	-0.131655	-0.0889626	-2.74829	-7.14626
