measurement_time	3D_X	3D_Y	3D_Z	3D_Q2	3D_Q1	2D_Y2	2D_Y1	2D_X1	2D_X2
6933020504883260416	-0.311743	-0.357637	-0.0538887	0.488162	-0.60466	2.30531	2.95998	-2.95038	-0.0513478
6933020498450014208	-0.313778	-0.356241	-0.0463433	0.488291	-0.603707	2.30504	2.96016	-2.95022	-0.0487602
6933020492016768000	-0.312993	-0.359038	-0.0529693	0.488159	-0.604669	2.30491	2.95978	-2.94994	-0.052008
6933020485583521792	-0.312577	-0.357436	-0.0543557	0.487861	-0.604355	2.30568	2.95977	-2.95017	-0.0503366
6933020479150275584	-0.31401	-0.35728	-0.0459424	0.488387	-0.604317	2.30552	2.95983	-2.95001	-0.048641
6933020472717029376	-0.312506	-0.358539	-0.054813	0.488294	-0.604328	2.30539	2.95967	-2.95011	-0.0540175
6933020466283784192	-0.311709	-0.356948	-0.0544523	0.488613	-0.604307	2.30517	2.96008	-2.95011	-0.0520531
6933020459850537984	-0.314656	-0.357655	-0.0463321	0.488294	-0.60446	2.30515	2.95972	-2.95009	-0.0498745
6933020453417290752	-0.312903	-0.357589	-0.0543573	0.488097	-0.604524	2.30599	2.95985	-2.95024	-0.0528437
6933020446984045568	-0.312653	-0.35747	-0.0543621	0.488104	-0.604127	2.30521	2.95977	-2.9502	-0.0533799
6933020440550799360	-0.312722	-0.356339	-0.050839	0.488239	-0.599451	2.30569	2.95971	-2.9502	-0.0504896
6933020434117554176	-0.314242	-0.357244	-0.0465092	0.488344	-0.60445	2.30537	2.95981	-2.95009	-0.0307598
6933020427684307968	-0.31449	-0.357494	-0.046382	0.488197	-0.604294	2.30534	2.96012	-2.95019	-0.0455784
6933020421251060736	-0.311804	-0.357423	-0.0541464	0.48835	-0.60403	2.30542	2.96003	-2.9501	-0.0528195
6933020414817815552	-0.313801	-0.356624	-0.0456348	0.488682	-0.604545	2.30527	2.95969	-2.95004	-0.0424224
6933020408384569344	-0.312284	-0.356648	-0.0542172	0.488192	-0.604252	2.30572	2.95969	-2.95024	-0.0531142
6933020401951323136	-0.313817	-0.357062	-0.0459762	0.488218	-0.604347	2.30572	2.96013	-2.95022	-0.0476701
6933020395518077952	-0.312725	-0.358228	-0.0546262	0.487928	-0.604059	2.30546	2.95991	-2.94998	-0.0564666
6933020389084830720	-0.311759	-0.357605	-0.0542156	0.488336	-0.604112	2.30505	2.95971	-2.95025	-0.052644
