measurement_time	3D_X	3D_Z	2D_Y2	2D_Y1	2D_X1	2D_X2
6930270758229113856	0.278258	4.97721	0.0150817	-5.03243	-0.637612	-2.34297
6930270764692440064	0.280992	4.97848	0.0222201	-5.03164	-0.633676	-2.34427
6930270771155766272	0.281046	4.9772	0.0229565	-5.0312	-0.63432	-2.345
6930270777619092480	0.281522	4.97761	0.0221269	-5.0312	-0.632728	-2.34414
6930270784082418688	0.280889	4.97879	0.022397	-5.03041	-0.632287	-2.34474
6930270790545744896	0.281078	4.97801	0.022516	-5.03158	-0.635725	-2.34543
6930270797009070080	0.277895	4.9774	0.0226189	-5.03148	-0.633133	-2.34362
6930270803472396288	0.278474	4.97634	0.0228343	-5.03125	-0.63721	-2.34435
6930270809935722496	0.278487	4.97762	0.0230304	-5.03105	-0.637558	-2.34395
6930270816399048704	0.277937	4.97776	0.0220176	-5.02998	-0.63668	-2.34469
6930270822862379008	0.28141	4.97764	0.0160721	-5.03056	-0.634876	-2.34483
6930270829325700096	0.277795	4.97839	0.0147923	-5.03107	-0.638834	-2.34548
6930270835789026304	0.278329	4.97765	0.0150528	-5.03094	-0.636117	-2.34568
6930270842260947968	0.277789	4.97703	0.0235256	-5.03083	-0.634799	-2.34376
6930270848724274176	0.281348	4.97725	0.0230562	-5.03049	-0.632914	-2.34432
6930270855187601408	0.27803	4.97915	0.0225931	-5.03166	-0.631361	-2.3441
6930270861659520000	0.278413	4.97733	0.0223327	-5.0308	-0.635448	-2.34465
6930270868122847232	0.281802	4.9775	0.0150656	-5.03181	-0.633258	-2.34478
6930270874594767872	0.281072	4.97757	0.0233327	-5.03152	-0.633049	-2.34501
6930270881058094080	0.278303	4.97864	0.0149081	-5.03098	-0.635657	-2.34534
6930270887521420288	0.278123	4.97762	0.0152714	-5.03152	-0.637583	-2.34525
6930270893984745472	0.279866	4.97742	0.0121717	-5.03075	-0.638837	-2.34411
6930270900448071680	0.281268	4.97778	0.0231526	-5.03184	-0.635066	-2.34441
6930270906915699712	0.281535	4.97672	0.0230304	-5.03147	-0.632689	-2.344
6930270913387617280	0.278258	4.97776	0.0147055	-5.03141	-0.636001	-2.34302
6930270919850942464	0.278461	4.97826	0.0224516	-5.03149	-0.638509	-2.34429
6930270926322864128	0.278056	4.97779	0.0219179	-5.03169	-0.635091	-2.3448
6930270932786190336	0.278085	4.97907	0.023114	-5.03103	-0.635384	-2.34447
6930270939249516544	0.278593	4.97756	0.0232105	-5.03101	-0.635709	-2.34487
6930270945721435136	0.278834	4.97682	0.023606	-5.03149	-0.634795	-2.34461
6930270952184762368	0.28084	4.97791	0.0146733	-5.0301	-0.635413	-2.34394
6930270958648088576	0.281082	4.97727	0.0143325	-5.03078	-0.636342	-2.34443
6930270965120010240	0.281361	4.97725	0.0152746	-5.03129	-0.6344	-2.3434
6930270971583336448	0.278345	4.97785	0.0139402	-5.03081	-0.63887	-2.34405
6930270978046662656	0.278239	4.9776	0.0140463	-5.03103	-0.636567	-2.34618
6930270984509987840	0.278307	4.97884	0.0142907	-5.03113	-0.637223	-2.34475
6930270990973314048	0.278191	4.97777	0.0152167	-5.03157	-0.636378	-2.3448
6930270997445234688	0.278474	4.97702	0.0163872	-5.03238	-0.634477	-2.34355
6930271003908559872	0.280236	4.97713	0.022651	-5.03123	-0.629397	-2.34455
6930271010371888128	0.280696	4.97779	0.0225192	-5.0305	-0.634902	-2.34419
6930271016835214336	0.281496	4.97792	0.0220336	-5.03073	-0.633969	-2.34553
6930271023298539520	0.280213	4.978	0.0184773	-5.03214	-0.637101	-2.34497
6930271029770460160	0.278721	4.97753	0.0155608	-5.03154	-0.635654	-2.3441
6930271036233786368	0.281493	4.97886	0.0225352	-5.03196	-0.632902	-2.34427
6930271042697112576	0.280281	4.97786	0.023307	-5.03104	-0.63459	-2.34503
6930271049160438784	0.277924	4.97791	0.0222491	-5.03023	-0.636435	-2.34546
6930271055628061696	0.277943	4.97809	0.0225578	-5.03089	-0.633934	-2.34497
6930271062091388928	0.280342	4.97859	0.0224034	-5.03183	-0.635095	-2.34354
6930271068554715136	0.281638	4.97747	0.022606	-5.03132	-0.633741	-2.34564
6930271075018041344	0.281255	4.97752	0.0224967	-5.03139	-0.630721	-2.34461
6930271081489960960	0.281631	4.9777	0.0228375	-5.03225	-0.634033	-2.34373
6930271087953287168	0.281165	4.97833	0.0151203	-5.03116	-0.634767	-2.34492
6930271094416613376	0.281467	4.97785	0.0231558	-5.03016	-0.634001	-2.34528
6930271100888535040	0.280702	4.97824	0.0232845	-5.03244	-0.636098	-2.34444
6930271107351860224	0.278873	4.97772	0.0150431	-5.03142	-0.634101	-2.34408
6930271113815186432	0.278152	4.97755	0.0148148	-5.03236	-0.637361	-2.34352
6930271120278512640	0.278043	4.97774	0.0144933	-5.03119	-0.638217	-2.34486
6930271126741838848	0.27876	4.97781	0.014728	-5.03136	-0.640516	-2.34499
6930271133205165056	0.277709	4.97902	0.0144579	-5.03094	-0.639995	-2.34539
6930271139668491264	0.277901	4.97723	0.0158502	-5.031	-0.636934	-2.34463
6930271146131816448	0.278342	4.97705	0.0151814	-5.03094	-0.633204	-2.34474
6930271152595142656	0.278229	4.97714	0.014818	-5.03176	-0.636564	-2.34478
6930271159058468864	0.278104	4.97774	0.0153036	-5.0309	-0.634979	-2.34525
6930271165521794048	0.277593	4.97853	0.0154258	-5.03148	-0.639259	-2.34513
6930271171985121280	0.278149	4.97771	0.0141363	-5.03052	-0.637027	-2.34502
6930271178457041920	0.279094	4.97656	0.0145576	-5.03075	-0.637673	-2.34551
